Start,Stop,Year,Month,Temperature,Quality
1961-01-01 00:00:01,1961-02-01 00:00:00,1961,01,-0.5,Y
1961-02-01 00:00:01,1961-03-01 00:00:00,1961,02,2.7,Y
1961-03-01 00:00:01,1961-04-01 00:00:00,1961,03,5.1,Y
1961-04-01 00:00:01,1961-05-01 00:00:00,1961,04,8.1,Y
1961-05-01 00:00:01,1961-06-01 00:00:00,1961,05,11.2,Y
1961-06-01 00:00:01,1961-07-01 00:00:00,1961,06,15.8,Y
1961-07-01 00:00:01,1961-08-01 00:00:00,1961,07,15.6,Y
1961-08-01 00:00:01,1961-09-01 00:00:00,1961,08,14.9,Y
1961-09-01 00:00:01,1961-10-01 00:00:00,1961,09,14.4,Y
1961-10-01 00:00:01,1961-11-01 00:00:00,1961,10,12.2,Y
1961-11-01 00:00:01,1961-12-01 00:00:00,1961,11,5.4,Y
1961-12-01 00:00:01,1962-01-01 00:00:00,1961,12,-0.0,Y
1962-01-01 00:00:01,1962-02-01 00:00:00,1962,01,1.4,Y
1962-02-01 00:00:01,1962-03-01 00:00:00,1962,02,1.1,Y
1962-03-01 00:00:01,1962-04-01 00:00:00,1962,03,-1.1,Y
1962-04-01 00:00:01,1962-05-01 00:00:00,1962,04,6.6,Y
1962-05-01 00:00:01,1962-06-01 00:00:00,1962,05,9.2,Y
1962-06-01 00:00:01,1962-07-01 00:00:00,1962,06,13.8,Y
1962-07-01 00:00:01,1962-08-01 00:00:00,1962,07,15.1,Y
1962-08-01 00:00:01,1962-09-01 00:00:00,1962,08,14.1,Y
1962-09-01 00:00:01,1962-10-01 00:00:00,1962,09,11.9,Y
1962-10-01 00:00:01,1962-11-01 00:00:00,1962,10,10.3,Y
1962-11-01 00:00:01,1962-12-01 00:00:00,1962,11,3.6,Y
1962-12-01 00:00:01,1963-01-01 00:00:00,1962,12,-0.9,Y
1963-01-01 00:00:01,1963-02-01 00:00:00,1963,01,-6.6,Y
1963-02-01 00:00:01,1963-03-01 00:00:00,1963,02,-5.0,Y
1963-03-01 00:00:01,1963-04-01 00:00:00,1963,03,-0.6,Y
1963-04-01 00:00:01,1963-05-01 00:00:00,1963,04,5.7,Y
1963-05-01 00:00:01,1963-06-01 00:00:00,1963,05,12.3,Y
1963-06-01 00:00:01,1963-07-01 00:00:00,1963,06,16.2,Y
1963-07-01 00:00:01,1963-08-01 00:00:00,1963,07,16.3,Y
1963-08-01 00:00:01,1963-09-01 00:00:00,1963,08,16.2,Y
1963-09-01 00:00:01,1963-10-01 00:00:00,1963,09,13.6,Y
1963-10-01 00:00:01,1963-11-01 00:00:00,1963,10,9.7,Y
1963-11-01 00:00:01,1963-12-01 00:00:00,1963,11,6.0,Y
1963-12-01 00:00:01,1964-01-01 00:00:00,1963,12,-0.5,Y
1964-01-01 00:00:01,1964-02-01 00:00:00,1964,01,1.1,Y
1964-02-01 00:00:01,1964-03-01 00:00:00,1964,02,-0.6,Y
1964-03-01 00:00:01,1964-04-01 00:00:00,1964,03,1.0,Y
1964-04-01 00:00:01,1964-05-01 00:00:00,1964,04,7.6,Y
1964-05-01 00:00:01,1964-06-01 00:00:00,1964,05,12.2,Y
1964-06-01 00:00:01,1964-07-01 00:00:00,1964,06,14.5,Y
1964-07-01 00:00:01,1964-08-01 00:00:00,1964,07,15.1,Y
